TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,50,18,32,2410,99.8,102.1,-2.3,60.2,1.45,16.8,30.8,67.3,48.8,16.1,46.8,50.7,91.11,47.6,"4,571"
Vancouver Grizzlies,50,8,42,2435,97.1,106.3,-9.3,58.6,1.14,15.3,34.2,64.5,49,18.5,44.7,49.8,90.29,42.7,"4,576"
Utah Jazz,50,37,13,2435,104.2,96.7,7.4,71.5,1.48,19,32.9,67.7,51.6,18.2,48.5,54.5,88.37,59.1,"4,480"
Toronto Raptors,50,23,27,2415,99.8,101.8,-1.9,62.4,1.3,16.1,35.9,67.5,51.5,17.5,45,50.4,90.67,48.9,"4,565"
Seattle SuperSonics,50,25,25,2420,103.2,104.2,-0.9,61.9,1.42,16.7,34.4,67.3,50.6,16.7,48.1,51.9,91.22,49,"4,594"
San Antonio Spurs,50,37,13,2415,102.7,93.6,9.1,63.3,1.45,17.4,32.9,67.4,51.2,16.8,47.9,52.3,89.88,58.2,"4,517"
Sacramento Kings,50,27,23,2440,101.2,101.6,-0.4,58.9,1.34,16.4,32.8,65.4,49.3,17,47.9,51.4,97.36,49.4,"4,948"
Portland Trail Blazers,50,35,15,2435,102.8,96.2,6.6,61.4,1.39,16.6,34.5,68.7,51.9,16.7,47.3,52.1,90.81,55.6,"4,613"
Phoenix Suns,50,27,23,2410,103.9,101.6,2.2,69.5,1.83,19.1,30.6,67.1,48.9,14.8,48.1,52.6,91.54,52.9,"4,601"
Philadelphia 76ers,50,28,22,2430,97.8,95.5,2.4,56.4,1.14,14.7,35.6,67.9,51.5,17.9,43.9,49.4,90.56,51.8,"4,582"
Orlando Magic,50,33,17,2410,98.9,96.3,2.6,63.2,1.3,16.6,36,68.5,51.8,18.1,45.6,49.8,89.93,51.9,"4,521"
New York Knicks,50,27,23,2420,97.2,95.9,1.2,59.8,1.2,15.9,30.3,67.1,49.4,18.1,46.3,50.9,88.22,51.5,"4,446"
New Jersey Nets,50,16,34,2410,97,101.2,-4.2,54.6,1.23,14.3,32.8,68.2,49.6,15.9,43.4,48.5,93.73,46.6,"4,711"
Minnesota Timberwolves,50,25,25,2405,99.9,99.4,0.5,66.3,1.9,18.1,34.8,67.3,50.1,13.8,43.9,48.1,92.86,49.3,"4,651"
Milwaukee Bucks,50,28,22,2410,102.9,101.2,1.8,58.8,1.43,16.8,31.2,64.8,48.4,16.1,48.9,53,88.64,51.2,"4,453"
Miami Heat,50,33,17,2405,102.9,97.1,5.8,63.1,1.37,17.1,29.9,68.3,50.3,17.2,49.4,54,86.35,56,"4,325"
Los Angeles Lakers,50,31,19,2410,106.1,102.8,3.3,59.5,1.45,16.9,32.3,67.1,50,16.2,49.8,53.8,92.95,52.7,"4,666"
Los Angeles Clippers,50,9,41,2425,98.3,107.8,-9.6,47.9,1.03,13.2,33.2,64.6,48,17.3,45.4,49.7,91.04,40.2,"4,599"
Indiana Pacers,50,33,17,2420,106.6,102.2,4.3,58.1,1.55,16.4,31,67.1,49.5,14.6,48.6,53.7,88.16,52.6,"4,442"
Houston Rockets,50,31,19,2415,103.5,101,2.5,60.3,1.3,16.9,31.2,67.8,50.6,17.8,50.6,54.5,90.45,52.3,"4,551"
Golden State Warriors,50,21,29,2425,96,98.9,-2.9,59.9,1.35,15.8,36.7,69,52.3,16.7,43.4,47.1,90.96,46.6,"4,600"
Detroit Pistons,50,29,21,2410,102.4,98.4,4,60.8,1.28,16.4,33.1,69.7,51.4,17.9,48,52.8,87.93,51.5,"4,411"
Denver Nuggets,50,14,36,2405,101.4,108.6,-7.3,57.6,1.31,15.3,31.9,66,48.3,16,45.9,51.1,91.99,44.2,"4,611"
Dallas Mavericks,50,19,31,2415,100.2,103,-2.7,52.7,1.33,14.7,32.1,67.3,49.5,15.1,45.9,50.2,90.8,47.4,"4,570"
Cleveland Cavaliers,50,22,28,2410,98.2,100.1,-1.9,70,1.39,17.9,29.5,65.6,47.8,17.8,46.4,52,87.66,49.3,"4,400"
Chicago Bulls,50,13,37,2414,91.4,101.7,-10.4,66.1,1.31,16.4,29.9,68.4,48.2,17.3,42.4,47,89.19,42,"4,482"
Charlotte Hornets,50,26,24,2430,100.4,100.4,0,66.4,1.39,17.6,26.6,67.8,48.2,17.2,48.5,53.7,91.43,51.1,"4,626"
Boston Celtics,50,19,31,2430,98.7,100.8,-2.1,59.1,1.33,16.3,33,66.6,49.3,17.1,46.9,50.1,93.02,47.3,"4,711"
Atlanta Hawks,50,31,19,2415,98.4,95.3,3.1,50.7,1.05,13,35.3,70.1,52.7,17,43.6,49.2,87.1,52.5,"4,387"
