TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,29,53,3971,99.3,101.6,-2.3,61,1.43,16.9,27.9,70.6,49.1,16.1,47.5,51.2,93.23,48.1,"7,699"
Utah Jazz,82,43,39,3976,105.4,105.6,-0.2,61,1.54,17.4,32.9,69.7,51,15.9,49.2,53.3,92.05,50.4,"7,629"
Toronto Raptors,82,34,48,3996,105,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49,14.8,48.8,53.2,91.26,48.4,"7,591"
San Antonio Spurs,82,58,24,3976,107,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95.31,55.1,"7,892"
Sacramento Kings,82,28,54,3966,105.3,110,-4.7,55.3,1.42,16,30.6,67.3,48.5,15.4,49.1,53.2,94.65,45.4,"7,804"
Portland Trail Blazers,82,33,49,3971,104.5,107.9,-3.4,59.3,1.48,17,29.4,70.2,49.5,15.7,49.8,53.6,92.46,46.8,"7,649"
Phoenix Suns,82,25,57,3961,100.2,106.9,-6.7,60.6,1.45,17.1,30.8,68.7,49.1,16.4,47.7,51.2,94.48,45.8,"7,793"
Philadelphia 76ers,82,34,48,3951,101,104.7,-3.7,61,1.74,17.7,29.1,69.5,48.9,14.1,48.1,50.9,91.88,47.4,"7,566"
Orlando Magic,82,20,62,3956,100.9,108.4,-7.4,60.5,1.57,17.6,29.3,70.7,49.8,15.6,48.5,51.4,92.81,45.9,"7,646"
Oklahoma City Thunder,82,60,22,3966,111,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16,52.7,58,94.58,57,"7,808"
New York Knicks,82,54,28,3946,109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55,90.68,51.2,"7,462"
New Orleans Hornets,82,27,55,3956,104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4,"7,379"
Minnesota Timberwolves,82,31,51,3946,101.8,104,-2.2,62.4,1.51,17.1,31.2,70.2,50,15.7,47.3,51.6,93.94,49.4,"7,712"
Milwaukee Bucks,82,38,44,3966,102.5,104.2,-1.7,60,1.62,17,31.5,67.8,49.1,14.6,47.6,51,95.65,48.8,"7,909"
Miami Heat,82,66,16,3976,111.4,103.2,8.2,60,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4,"7,572"
Memphis Grizzlies,82,56,26,3961,103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52,15.5,47.2,51.4,89.56,53.1,"7,394"
Los Angeles Lakers,82,45,37,3951,107,105.9,1.1,59.8,1.48,16.8,30.9,70.2,51,15.7,51.2,54.8,95.08,51.3,"7,830"
Los Angeles Clippers,82,56,26,3946,109.8,102.8,6.9,62,1.64,18.4,32.3,69.7,51.2,15.9,52.6,55.7,91.83,54.8,"7,552"
Indiana Pacers,81,49,32,3918,103.4,99,4.4,57.8,1.34,16,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7,"7,420"
Houston Rockets,82,45,37,3956,108.8,105.3,3.5,60.9,1.41,17.3,30.5,71,50.9,16.9,52.5,56.4,96.89,51,"7,988"
Golden State Warriors,82,47,35,3961,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2,"7,893"
Detroit Pistons,82,29,53,3961,102.7,107.2,-4.5,58.5,1.4,16.6,32.4,69.5,50.6,16.4,48.7,52.1,91.68,46.7,"7,571"
Denver Nuggets,82,57,25,3981,109.3,104.2,5.1,60,1.6,17.8,34.5,67.5,51.3,15.7,51.5,54.9,95.92,53.8,"7,960"
Dallas Mavericks,82,41,41,3996,104.7,105.4,-0.6,59.9,1.67,17.7,25.9,69.8,48.4,14.4,50.6,54.4,95.09,50.2,"7,917"
Cleveland Cavaliers,82,24,58,3946,103.2,108.2,-5,56.6,1.47,15.9,32.6,69.5,50,15,47.3,51.4,93.25,45,"7,666"
Chicago Bulls,82,45,37,3966,102.4,101.9,0.5,64.5,1.61,17.8,33.2,69.9,51.4,15.7,47,51.2,90.35,51.4,"7,460"
Charlotte Bobcats,82,21,61,3961,100.4,110.3,-9.9,56.2,1.38,15.3,30.5,67.9,48.6,15.1,46,50.7,92.49,43.8,"7,632"
Brooklyn Nets,82,49,33,3971,106.9,104.8,2,56.7,1.38,16.1,34.3,70.1,52,16.2,49.8,53.6,89.88,50.9,"7,433"
Boston Celtics,81,41,40,3968,102.2,102.6,-0.5,61.4,1.56,17.9,24.6,69,47.7,15.4,50.3,54.2,92.46,50.7,"7,652"
Atlanta Hawks,82,44,38,3971,103.7,103.4,0.3,65.1,1.65,18.8,25.4,70.1,48.2,15.7,51.7,54.6,93.56,50.9,"7,744"
