TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,29,53,3961,101.8,105.2,-3.4,58.8,1.34,16.4,32.9,68.6,50.6,17,47.6,52.1,94.33,47.1,"7,781"
Vancouver Grizzlies,82,22,60,3971,100.7,106.7,-6,58.8,1.23,16.2,32.6,67.9,50.1,18.1,47.4,52.4,92.46,45.7,"7,647"
Utah Jazz,82,55,27,3951,105.7,101.1,4.6,68.9,1.67,19.1,32.9,69.8,51.6,16.3,49,54,90.84,55.1,"7,488"
Toronto Raptors,82,45,37,3951,102.7,102.8,-0.1,65.3,1.71,17.7,32.4,68.6,49.9,14.7,46.4,51.1,94.3,50,"7,760"
Seattle SuperSonics,82,45,37,3956,104,103.1,1,60.4,1.63,17.2,31.2,67.3,49.1,14.8,48.7,52,94.74,49.6,"7,809"
San Antonio Spurs,82,53,29,3971,103.5,97.1,6.4,61.6,1.48,17.3,30.1,70.3,51.2,16.2,48.8,53.5,92.11,55.6,"7,620"
Sacramento Kings,82,44,38,3961,103.6,100.7,2.9,59.6,1.47,17,30.8,67.9,49.3,16,48.6,52.6,100.66,51.3,"8,306"
Portland Trail Blazers,82,59,23,3956,106.5,99.5,6.9,63.7,1.55,18.2,33.5,69.3,52.3,16.6,50.1,54.6,91.03,55.9,"7,505"
Phoenix Suns,82,53,29,3961,102.7,97.3,5.4,67.8,1.53,18.8,31.6,67.6,50,17.3,49.1,53.2,95.67,54.2,"7,895"
Philadelphia 76ers,82,49,33,3966,99.9,98.3,1.5,60.7,1.42,16.6,33.5,68,50.4,16.5,45.7,50.1,94.25,50.8,"7,782"
Orlando Magic,82,41,41,3951,101.1,100.3,0.8,53.9,1.18,15.3,34.4,66.9,50.6,17.8,47.3,51.6,98.68,49.7,"8,120"
New York Knicks,82,50,32,3966,100.9,99.5,1.5,54.8,1.32,15.8,27.7,69.9,49.6,16,48.2,52.7,90.54,50.7,"7,485"
New Jersey Nets,82,31,51,3966,102.8,103.9,-1.1,56.7,1.51,15.8,29.8,65.7,47.2,14.3,46.8,51.7,94.63,47.9,"7,820"
Minnesota Timberwolves,82,50,32,3981,104.2,101.7,2.5,68.4,1.94,19.8,31.8,69.6,50.7,14.7,48.5,52.5,93.37,53.1,"7,751"
Milwaukee Bucks,82,42,40,3971,106.5,106.2,0.3,58.3,1.51,17.1,32.7,66.7,49.7,15.8,49.4,53.9,94.27,49.8,"7,796"
Miami Heat,82,52,30,3966,102.5,99.4,3.1,64.9,1.57,18.3,30.4,69.6,50.8,16.3,49.5,53.3,91.22,54.3,"7,548"
Los Angeles Lakers,82,67,15,3961,105.4,96.4,9,61.2,1.68,17.4,32.4,70.5,51.8,14.6,48.4,52.5,95.04,57.3,"7,840"
Los Angeles Clippers,82,15,67,3940,96.1,108,-11.9,51.4,1.12,14.2,28.6,67.4,47.4,16.9,45.8,49.9,95.69,41.1,"7,849"
Indiana Pacers,82,56,26,3946,106.8,101.7,5.1,60.9,1.6,17.5,27.6,69.1,49.2,14.9,50.3,55.2,94.7,53.4,"7,777"
Houston Rockets,82,34,48,3966,103.3,104.2,-0.8,59.1,1.24,16.3,32.1,69.1,50.8,18.1,49.4,53.6,95.54,49,"7,892"
Golden State Warriors,82,19,63,3951,98,106.5,-8.4,61.8,1.42,16.3,34.6,67.3,49.9,16.3,44.4,48.4,97.11,43.1,"7,991"
Detroit Pistons,82,42,40,3966,105.2,103.8,1.4,56.1,1.33,15.7,29.5,69.4,49.5,16,49.2,54.8,97.56,50.6,"8,063"
Denver Nuggets,82,35,47,3971,102.2,104.5,-2.3,62.5,1.49,17.2,32.1,68.8,50.4,16.1,47.6,51.7,95.95,48.3,"7,944"
Dallas Mavericks,82,40,42,3946,104.7,105.2,-0.5,56.7,1.61,16.7,28.1,64.7,46.6,14.2,49,53.2,96.64,49.3,"7,941"
Cleveland Cavaliers,82,32,50,3971,98.7,102.2,-3.5,65.2,1.36,17.3,30.8,68.5,49.6,17.7,46.8,51.6,97.36,47.5,"8,051"
Chicago Bulls,82,17,65,3961,92.8,102.8,-10,63.8,1.05,15.8,33.1,67.6,49.9,20.8,44.3,49,90.93,41.7,"7,492"
Charlotte Hornets,82,49,33,3956,102.5,99.7,2.8,68.9,1.68,18.4,28.3,71.2,50.1,15.3,47.5,53,95.58,54.1,"7,876"
Boston Celtics,82,35,47,3946,102.9,103.9,-1.1,57,1.38,15.9,32.7,70.5,50.6,15.9,47.4,52,96.19,47.6,"7,918"
Atlanta Hawks,82,28,54,3966,100.1,105.8,-5.7,51.6,1.22,14.6,33.4,69.8,51.6,16.4,46,50.3,93.55,46.2,"7,731"
