TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,44,38,4011,104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4,"7,872"
Utah Jazz,82,25,57,3956,102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1,"7,605"
Toronto Raptors,82,48,34,3991,107.9,104.6,3.3,58.1,1.5,16.4,31.2,70.1,50.5,15.1,49.8,54.5,92.48,51.2,"7,696"
San Antonio Spurs,82,62,20,3951,109.5,101.4,8.1,62.1,1.75,19,26.1,72.5,50.3,15,53.7,57.1,95.87,55.5,"7,887"
Sacramento Kings,82,28,54,3966,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3,"7,840"
Portland Trail Blazers,82,54,28,3971,110.4,106.2,4.2,59.4,1.69,17.2,32,71.3,51.7,14.2,50.4,54.8,95.9,52.4,"7,930"
Phoenix Suns,82,48,34,3951,108.2,105.6,2.6,49.3,1.24,14.7,29.8,69.9,50,15.8,51.9,55.8,96.83,50.9,"7,973"
Philadelphia 76ers,82,19,63,3971,99,109,-10,57.6,1.29,16,29,68.4,47.9,16.8,47.5,51,99.74,42.6,"8,236"
Orlando Magic,82,23,59,3991,101,106.6,-5.7,57.1,1.41,16.4,26.7,71.4,49,15.6,48.7,52.5,94.27,46.6,"7,837"
Oklahoma City Thunder,82,59,23,3961,109.4,103,6.4,56.2,1.43,16.6,29.4,72.2,51.8,15.8,52,56.6,96.33,54.3,"7,954"
New York Knicks,82,37,45,3971,107,108.1,-1.1,54.2,1.54,16,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49,"7,556"
New Orleans Pelicans,82,34,48,3971,106.2,109.1,-3,56.3,1.55,16.5,30.5,69.4,49.7,14.7,49.5,53.7,93.07,48.3,"7,703"
Minnesota Timberwolves,82,40,42,3971,107.7,105.2,2.6,61.6,1.72,17.3,31.7,71.5,50.8,14,48.6,53.5,98.33,51.9,"8,139"
Milwaukee Bucks,82,15,67,3976,101.9,110.2,-8.3,59.6,1.42,16.5,31,67.8,49,16.1,47.9,51.9,92.96,44.9,"7,685"
Miami Heat,82,54,28,3976,110,105,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59,91.9,53.9,"7,615"
Memphis Grizzlies,82,50,32,3961,105.5,103.8,1.7,57.4,1.59,17.1,32.6,71.8,52.1,15,49.4,52.9,90.58,51.8,"7,476"
Los Angeles Lakers,82,27,55,3941,103.2,109.3,-6,63.9,1.62,18.1,23.5,67.6,45.9,15.2,50.5,54.2,99.72,46,"8,177"
Los Angeles Clippers,82,57,25,3951,111.3,104,7.3,62.8,1.77,18.3,28.8,69,49.6,14.3,52.6,56.7,96.66,54.8,"7,954"
Indiana Pacers,82,56,26,3956,103.6,98.9,4.7,56,1.33,15.9,29.6,72.1,51.7,16.2,49,53.5,92.89,54.5,"7,656"
Houston Rockets,82,54,28,3966,109.8,105.2,4.6,56.3,1.33,16.1,30.6,70,51.3,16.5,53.1,57.1,97.27,53.4,"8,040"
Golden State Warriors,82,51,31,3966,106.3,101.4,4.9,59.1,1.53,17.4,28.4,72.4,50.8,15.5,51.7,55,97.37,52.8,"8,045"
Detroit Pistons,82,29,53,3956,105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4,"7,874"
Denver Nuggets,82,36,46,3951,105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1,"8,146"
Dallas Mavericks,82,49,33,3966,109.5,107.2,2.3,59.6,1.74,18,27.6,69.4,48.7,14.1,52.6,56.4,94.94,52.1,"7,852"
Cleveland Cavaliers,82,33,49,3986,103.5,107,-3.6,57.2,1.49,16.2,31.4,71.1,50.8,14.9,47.9,51.8,93.69,46.9,"7,784"
Chicago Bulls,82,48,34,3986,101.7,99.9,1.9,65.4,1.52,17.6,32.1,71.3,51.8,16.2,47.1,51.8,90.84,52.8,"7,549"
Charlotte Bobcats,82,43,39,3981,103,103.3,-0.4,59.7,1.76,16.9,26.9,73,50,13.1,48.1,52.2,92.93,50.8,"7,712"
Brooklyn Nets,82,44,38,3976,105.4,106.7,-1.3,58.5,1.44,16.7,26,68.6,47.5,15.5,51.4,55.5,92.42,49.2,"7,663"
Boston Celtics,82,25,57,3946,101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1,"7,745"
Atlanta Hawks,82,38,44,3966,104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2,"7,892"
